# 来源：高考英语核心高频688词汇.pdf
# 格式：word|词性|中文释义。词性含 n/v/a/d 时分别控制生成复数/动词变形/比较级。
# 词条数：687
abandon|v|v.放弃，抛弃
abnormal|a|adj.不正常的
absence|n|n.缺乏，缺席
absolute|a|adj.绝对的，完全的
absorb|v|v.吸收，吸引
abstract|a|adj.抽象的，理论的
abundant|a|adj.丰富的
abuse|n v|n./v.滥用,虐待
academic|a n|adj.学术的；n.教授
accelerate|v|v.加速
accent|n|n.口音，重音
acceptable|a|adj.可接受的
accessible|a|adj.易接近的；可得到的
accommodation|n|n.住处，适应
accompany|v|v.陪伴
accomplish|v|v.实现，完成第12页共16页
account|n v|n.帐户，事情；v.说明（for）
accumulate|v|v.积累
accurate|a|adj.精确的
accuse|v|v.控告(of)，指责
accustom|v|v.使习惯(to)
achievement|n|n.成就
acknowledge|v|v.承认
acquire|v|v.获得，学到
adapt|v|v.适应(to)，改编
addiction|n|n.上瘾(to)
addition|n|n.增加
adequate|a|adj.足够的
adjust|v|v.调节，使适应(to)
administration|n|n.管理，行政
admire|v|v.钦佩，羡慕
adolescent|a n|adj.青春期的；n.青少年
adopt|v|v.采用，收养
adore|v|v.爱慕，崇拜
advance|a n|n.前进；adj.提前的
advocate|v|v.提倡
affair|n|n.事件
affect|v|v.影响
affordable|a|adj.支付得起的
aggressive|a|adj.好斗的，上进的
allocate|v|v.分配
alternative|a n|adj.供选择的；n.替换物
amaze|v|v.使吃惊
ambiguous|a|adj.模棱两可的
ambition|n|n.雄心
amuse|v|v.娱乐
analyze|v|v.分析
ancestor|n|n.祖宗
ancient|a|adj.古老的
angle|n|n.角度
anniversary|n|n.周年纪念
announce|v|v.宣布
annoy|v|v.使恼怒
annual|a|adj.每年的
anonymous|a|adj.匿名的
antique|a n|adj.古老的；n.古董
anxiety|n|n.焦虑
apologize|v|v.道歉(tosbforsth)
apparent|a|adj.明显的
appeal|n v|n.呼吁；v.吸引，呼吁(to)
appetite|n|n.食欲(for)，嗜好
applause|n|n.鼓掌
apply|v|v.应用(to)，申请(for)
appointment|n|n.约会
appreciate|v|v.欣赏，感激
approach|n v|v.靠近；n.途径，方法(to)第5页共16页
appropriate|a|adj.适当的
approve|v|v.赞同，同意(of)
approximately|d|adv.大约地，近似地
aptitude|n|n.潜能
architect|n|n.建筑师
argument|n|n.观点(on/about)，争论
arise|v|v.出现
arouse|v|v.引起
arrange|v|v.安排
arrest|v|v.逮捕
artificial|a|adj.人造的
ashamed|a|adj.感到惭愧的(of)
aspect|n|n.方面
assemble|v|v.聚集
assertive|a|adj.坚定的
assess|v|v.评定，评估
assignment|n|n.分配，任务第10页共16页
assistant|n|n.助手
associate|v|v.联系(with)
assume|v|v.假定，设想
astonish|v|v.使惊讶
astronaut|n|n.宇航员
athletic|a|adj.运动的，健壮的
atmosphere|n|n.大气，氛围
attach|v|v.附上，系上(to)
attack|n v|n.攻击；v.攻击
attain|v|v.获得
attempt|n v|v.企图，尝试(to)；n.试图
attend|v|v.出席，关心（to）；处理(to)
attribute|n v|v.把...归于(to)；n.品质
automatic|a|adj.自动的
available|a|adj.可利用的(to)，可获得的，有空的
average|a|adj.平均的
avoid|v|v.避免
aware|a|adj.意识到的(of)
awful|a|adj.糟糕的
awkward|a|adj.尴尬的第15页共16页
background|n|n.背景第8页共16页
bankrupt|a|adj.破产的
barely|d|adv.几乎不第13页共16页
bargain|n v|n.便宜货；v.讨价还价
belief|n|n.信念，信仰
beneath||prep.在…之下
beneficial|a|adj.有益的(to)
bid|v|v.出价，投标
bitter|a|adj.苦的，痛苦的
block|n v|n.街区；v.阻塞
bound|a|adj.必定的(to)
boundary|n|n.边界，分界线
breakthrough|n|n.突破
brief|a|adj.短暂的，简短的
brilliant|a|adj.卓越的，杰出的
broaden|v|v.变宽，扩大
burden|n v|n.负担；v.使...负重
burst|v|v.爆发(into/out)，闯入
bury|v|v.埋葬
calculate|v|v.计算
cancel|v|v.取消
candidate|n|n.候选人
capability|n|n.能力第14页共16页
capital|a n|n.首都，资本；adj.大写的，资本的
capture|v|v.捕获，占领
cast|v|v.投射，掷
casual|a|adj.不经心的，偶然的
category|n|n.种类
cater|v|v.迎合（for)
cause|n v|v.引起；n.原因，事业
cautious|a|adj.谨慎的，小心的
celebrate|v|v.庆祝
ceremony|n|n.典礼
certificate|n|n.证书，执照
chain|n|n.链条，一连串
champion|n v|n.冠军；v.保卫
character|n|n.个性，人物，汉字
charge|n v|n.费用，指控；v.要价(for)，管理，充电
charity|n|n.慈善
charm|n|n.魅力
cheat|n v|n.骗子；v.欺骗
check|n v|n.支票，检查；v.核对
chemical|a n|adj.化学的；n.药品
cheque|n|n.支票
cherish|v|v.珍爱
chief|a n|adj.主要的，首要的；n.首领
citizen|n|n.市民
civil|a|adj.国内的，公民的
clarify|v|v.阐明
classify|v|v.分类
colleague|n|n.同事
collection|n|n.收集
combine|v|v.结合(with)
